,Ensemble_adv,Ensemble_true,True,adv_model0,adv_model1,adv_model2,adv_model3,adv_model4,adv_model5,adv_model6,adv_model7,adv_model8,adv_model9,model0,model1,model2,model3,model4,model5,model6,model7,model8,model9
1626,3,7,7,3,2,3,2,3,3,3,2,3,2,7,7,7,7,7,7,7,7,7,7
1627,2,0,0,5,2,2,2,2,0,2,0,8,2,0,0,0,0,0,0,0,0,0,0
1628,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1629,2,3,3,2,2,2,2,2,2,2,2,8,2,3,3,3,3,3,3,3,3,3,3
1630,3,1,1,3,2,3,1,3,8,3,8,8,3,1,1,1,1,1,1,1,1,1,1
1631,9,9,9,9,9,9,8,8,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9
1632,9,8,8,7,8,8,9,9,9,9,3,9,9,2,8,8,8,8,8,8,7,8,9
1633,9,7,7,9,9,9,9,9,9,7,9,9,9,7,7,7,7,7,7,7,7,7,7
1634,3,7,7,2,2,2,3,3,3,3,3,8,7,7,7,7,7,7,7,7,7,7,7
1635,8,1,1,3,5,4,8,8,8,3,8,3,3,1,1,1,1,1,1,1,1,1,1
1636,7,4,4,7,8,7,7,9,8,7,8,7,7,4,4,4,4,4,4,9,4,4,4
1637,4,9,9,9,4,4,4,4,4,4,4,9,4,9,9,9,9,9,9,9,9,9,9
1638,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9
1639,2,3,3,3,2,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3
1640,9,7,2,9,4,4,9,9,9,9,4,8,4,7,9,9,9,7,7,7,9,7,7
1641,3,1,1,3,3,8,1,3,8,3,3,8,1,1,1,1,1,1,1,1,1,1,1
1642,4,7,7,3,4,4,4,4,4,3,4,9,4,7,7,7,7,7,7,7,7,7,7
1643,9,9,9,9,9,9,9,9,9,9,7,7,9,9,9,9,9,9,9,9,9,9,9
1644,5,0,0,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
1645,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1646,2,0,0,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
1647,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1648,5,3,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
1649,7,7,7,7,7,3,7,3,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1650,6,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,4,4,4,4
1651,9,9,9,2,2,4,9,4,9,9,4,9,9,9,9,9,9,9,9,9,9,9,9
1652,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1653,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1654,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1655,7,7,7,7,0,0,7,7,7,7,7,7,0,7,7,7,7,7,7,7,7,7,7
1656,3,7,7,3,3,3,3,3,3,3,3,3,3,7,7,7,7,7,7,7,7,7,7
1657,2,0,0,2,2,2,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
1658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
1659,8,7,7,5,8,5,8,8,8,5,8,8,1,7,7,7,7,7,7,7,7,7,7
1660,5,5,5,3,5,0,3,3,0,5,0,5,8,5,5,5,5,5,5,5,5,5,5
1661,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1662,7,9,9,7,7,2,7,7,7,7,7,7,7,9,9,9,9,9,9,9,9,9,9
1663,0,5,8,0,0,0,0,0,0,0,0,0,0,5,5,8,5,5,5,5,5,5,5
1664,8,7,7,8,8,8,7,8,8,7,5,8,8,7,7,7,7,7,7,7,7,7,7
1665,8,4,4,4,4,4,8,8,4,8,3,8,4,4,4,4,4,4,4,4,4,4,4
1666,9,4,4,5,9,8,9,8,8,9,8,9,9,4,4,4,4,4,4,4,4,4,4
1667,3,2,2,3,3,3,3,3,3,3,3,8,3,2,2,2,2,2,2,2,2,2,2
1668,4,6,6,9,4,9,9,9,4,9,4,4,4,6,6,6,6,6,6,6,6,6,6
1669,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6,6,6
1670,8,1,1,2,2,8,8,8,2,2,8,8,1,1,1,1,1,1,1,1,1,1,1
1671,4,9,9,4,9,4,4,4,4,4,4,9,4,9,9,9,9,9,9,9,9,9,9
1672,4,6,6,5,6,4,5,5,4,6,4,8,4,6,6,6,6,6,6,6,6,6,6
1673,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8
1674,8,2,2,2,2,8,8,8,2,3,3,2,8,2,2,2,2,2,2,2,2,2,2
1675,9,9,9,9,9,9,9,9,9,9,3,9,9,9,9,9,9,9,9,9,9,9,9
1676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1677,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1678,3,3,3,5,3,5,3,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,5
1679,3,1,1,3,3,3,7,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
1680,3,1,1,3,2,8,1,3,2,3,3,8,1,1,1,1,1,1,1,1,1,1,1
1681,5,6,6,5,5,6,5,5,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6
1682,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1683,3,5,5,7,3,7,7,3,3,3,5,3,7,5,5,5,5,5,5,5,5,5,5
1684,3,1,1,3,1,1,1,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1
1685,3,1,1,3,2,8,1,5,8,3,3,8,3,1,1,1,1,1,1,1,1,1,1
1686,3,1,1,3,3,3,8,3,3,3,3,8,3,1,1,1,1,1,1,1,1,1,1
1687,5,3,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
1688,2,1,1,2,2,2,2,2,2,2,2,8,2,1,1,1,1,1,1,1,1,1,1
1689,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,8,8,8,8,8,2,2,2
1690,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1691,0,0,0,5,5,0,5,8,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
1692,2,2,2,2,2,2,2,2,2,2,2,8,2,2,2,2,2,2,2,2,2,2,2
1693,2,0,0,2,2,2,2,2,2,2,2,2,2,0,2,0,2,0,0,2,0,0,2
1694,3,1,1,3,3,8,7,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
1695,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1696,3,5,5,3,3,8,7,3,3,7,3,7,7,5,5,5,5,5,5,5,5,5,5
1697,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5
1698,7,7,7,7,8,8,8,7,8,7,7,8,7,7,7,7,7,7,7,7,7,7,7
1699,8,4,4,5,8,8,5,5,8,7,8,8,8,4,4,4,4,4,4,4,4,4,4
1700,8,7,8,5,8,8,8,8,3,3,8,8,3,7,7,7,7,7,7,7,7,7,7
1701,4,9,9,9,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
1702,8,6,6,5,6,1,5,8,1,5,8,8,6,6,6,6,6,6,6,6,6,6,6
1703,4,9,9,4,4,4,4,9,4,9,4,9,4,9,9,9,9,9,9,9,9,9,9
1704,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1705,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,9,8
1706,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,3
1707,6,4,6,6,6,6,6,6,6,6,6,6,6,4,4,4,4,4,4,6,4,4,6
1708,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1709,8,8,8,8,8,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8,8,8,8
1710,3,5,5,3,3,8,3,3,3,3,3,3,8,5,5,5,5,5,5,5,5,5,5
1711,3,1,1,3,3,8,8,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
1712,3,4,4,7,3,3,7,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
1713,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1714,8,4,4,5,5,8,5,5,4,5,8,8,4,4,4,4,4,4,4,4,4,4,4
1715,1,4,4,3,1,1,1,1,1,8,8,8,1,4,4,4,4,4,4,4,4,4,4
1716,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1717,3,1,1,3,3,8,1,3,3,3,3,8,3,1,1,1,1,1,1,1,1,1,1
1718,3,4,1,3,2,2,3,3,3,3,3,3,2,1,4,1,4,1,4,1,4,1,1
1719,4,9,9,5,4,4,5,5,4,3,5,4,4,9,9,9,9,9,9,9,9,9,9
1720,5,0,0,5,5,0,5,5,5,5,5,5,5,0,0,0,0,0,0,0,0,0,0
1721,2,2,2,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2
1722,4,4,4,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1723,4,9,9,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
1724,4,5,5,4,4,4,4,4,4,4,4,4,4,5,5,6,5,5,5,5,5,5,5
1725,7,7,7,7,8,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1726,3,1,1,3,1,8,1,3,1,3,3,3,1,1,1,1,1,1,1,1,1,1,1
1727,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1728,3,3,8,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3
1729,8,5,5,8,8,8,8,8,8,5,8,9,9,5,5,5,5,5,5,5,5,5,5
1730,0,6,6,0,0,0,0,0,0,0,0,0,0,6,6,6,0,6,6,6,0,6,6
1731,4,9,9,9,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
1732,8,8,8,8,8,8,8,8,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8
1733,9,7,7,9,9,9,9,9,9,9,9,9,9,9,7,7,7,7,7,9,7,7,7
1734,1,1,1,3,1,1,1,8,1,3,8,8,1,1,1,1,1,1,1,1,1,1,1
1735,8,1,1,8,8,8,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1
1736,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6
1737,9,7,7,9,9,9,9,5,4,9,4,9,4,7,7,7,7,7,7,7,7,7,7
1738,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1739,5,3,3,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
1740,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2
1741,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1743,3,8,8,3,2,2,3,2,2,3,3,8,2,8,8,8,8,8,8,8,8,8,8
1744,3,9,9,3,3,8,8,3,3,3,3,3,8,9,9,9,9,9,9,9,9,9,9
1745,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1746,3,5,5,3,3,3,3,3,3,3,3,3,3,5,5,5,3,5,5,5,3,5,5
1747,3,1,1,3,3,8,1,3,1,3,3,8,1,1,1,1,1,1,1,1,1,1,1
1748,5,0,0,5,5,5,5,5,5,5,5,8,3,0,0,0,0,0,0,0,0,0,0
1749,3,3,8,3,3,4,4,3,4,3,8,4,3,3,8,8,3,8,8,3,3,3,3
1750,4,1,1,2,4,4,4,2,8,4,4,4,4,1,1,1,1,1,1,1,1,1,1
1751,8,4,9,5,5,2,5,5,8,5,5,8,8,4,4,4,4,4,4,4,4,4,4
1752,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1753,4,4,7,5,4,4,5,4,4,4,4,4,4,4,4,4,7,4,4,7,7,7,7
1754,3,9,9,3,3,8,7,3,3,7,3,3,7,9,9,9,9,9,9,9,9,9,9
1755,6,6,6,8,6,4,6,6,4,4,6,4,4,6,6,6,6,6,6,6,6,6,6
1756,8,9,9,5,7,8,7,5,8,9,8,8,8,9,9,9,9,9,9,9,9,9,9
1757,5,0,0,5,5,5,5,5,0,5,0,5,5,0,0,0,0,0,0,0,0,0,0
1758,2,6,6,2,2,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6
1759,7,1,1,7,7,7,7,3,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1
1760,4,5,5,3,4,4,4,4,4,9,4,4,4,5,5,5,5,5,5,5,5,5,5
1761,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0,5,5,5,5
1762,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1763,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1764,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1765,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1766,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1767,5,5,5,5,5,5,5,5,5,5,5,8,5,5,8,5,5,8,5,8,5,5,5
1768,4,0,0,9,2,4,4,8,4,4,4,4,6,0,0,0,0,0,0,0,0,0,0
1769,3,7,7,3,3,8,3,3,3,3,3,8,7,7,7,7,7,7,7,7,7,7,7
1770,9,4,4,3,9,9,9,9,9,9,3,9,9,4,4,4,4,4,4,4,4,9,4
1771,6,6,6,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1772,8,1,1,3,2,8,1,3,8,3,8,8,1,1,1,1,1,1,1,1,1,1,1
1773,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1774,3,4,4,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4
1775,7,7,7,9,9,9,5,5,9,7,8,8,7,7,7,7,7,7,7,7,7,7,7
1776,3,3,3,3,3,3,3,3,3,3,3,3,3,5,3,5,5,3,3,3,3,3,3
1777,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1778,5,3,3,5,5,8,5,5,5,3,4,9,4,3,3,3,3,3,3,3,3,3,3
1779,4,4,4,9,9,4,4,4,4,9,4,4,9,4,4,4,4,4,4,4,4,4,4
1780,2,4,2,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4
1781,3,5,5,5,3,6,3,3,3,3,5,3,6,5,5,5,5,5,5,5,5,5,5
1782,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1783,2,7,7,2,2,2,2,2,2,2,2,2,4,7,7,7,7,7,7,7,7,7,7
1784,3,1,1,3,3,8,1,3,1,3,3,8,1,1,1,1,1,1,1,1,1,1,1
1785,7,7,7,5,7,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1786,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1787,8,6,6,8,6,6,8,8,8,8,6,8,6,6,6,6,6,6,6,6,6,6,6
1788,4,6,4,5,2,4,4,2,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
1789,8,1,1,3,5,8,8,8,8,8,8,8,1,1,1,1,1,1,1,1,1,1,1
1790,0,5,5,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,8,5,5,5,5
1791,7,7,7,8,0,2,7,7,0,7,0,7,7,4,2,4,7,7,7,7,7,7,7
1792,2,8,8,2,2,2,2,2,2,2,2,8,2,8,8,8,8,8,8,8,8,8,8
1793,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1794,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1795,8,1,1,3,8,8,1,8,1,3,8,8,1,1,1,1,1,1,1,1,1,1,1
1796,8,8,8,8,2,8,8,8,2,2,2,8,8,8,8,8,8,8,8,8,8,8,8
1797,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1798,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,5,5,4,5,5
1799,0,7,7,5,0,0,5,0,0,7,0,3,0,7,7,7,7,7,7,7,7,7,7
1800,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1801,4,6,6,4,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
1802,3,3,9,3,3,8,5,3,3,3,3,8,3,7,8,3,3,5,3,5,3,3,8
1803,3,3,3,5,3,3,5,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3
1804,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1805,8,2,8,8,8,8,8,8,8,8,8,8,8,2,2,2,2,2,2,2,2,2,2
1806,9,4,4,9,3,9,9,3,3,9,3,9,9,4,9,4,4,9,4,4,4,9,4
1807,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1808,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1809,4,0,0,5,4,4,5,5,4,4,6,4,4,0,0,0,0,0,0,0,0,0,0
1810,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1811,8,8,8,3,8,8,3,3,8,3,8,8,3,8,8,8,8,8,8,8,8,8,8
1812,8,3,3,3,8,8,5,3,8,3,8,8,8,3,3,3,3,3,3,3,3,3,3
1813,9,4,4,9,9,9,9,3,9,9,3,9,9,4,4,4,4,4,4,4,4,4,4
1814,4,9,9,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
1815,3,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1816,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1817,5,5,5,0,5,0,5,5,0,5,5,5,0,5,5,5,5,5,5,5,5,5,5
1818,5,8,8,5,5,8,5,5,8,5,8,8,5,8,1,1,1,8,8,8,8,8,1
1819,0,6,6,5,0,0,0,8,0,0,0,0,0,6,6,6,6,8,6,6,6,0,6
1820,5,3,5,5,5,5,5,5,5,5,5,5,5,3,5,3,3,3,3,3,3,3,3
1821,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1823,3,5,8,3,3,8,3,3,3,3,8,3,3,5,5,3,5,5,3,3,5,5,5
1824,6,6,6,6,6,6,6,6,4,6,6,4,4,6,6,6,6,6,6,6,6,6,6
1825,7,7,7,7,9,9,7,7,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7
1826,3,3,3,3,3,3,3,3,3,3,3,3,7,3,3,3,3,3,3,3,3,3,3
1827,6,6,6,8,6,4,6,8,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6
1828,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1829,4,9,9,4,4,4,4,4,4,4,6,4,4,9,9,9,9,9,9,9,9,9,9
1830,5,4,4,5,3,5,7,5,8,7,5,8,7,4,4,4,4,4,4,4,4,4,4
1831,4,6,6,9,4,4,4,4,4,4,4,4,4,4,6,6,6,6,4,6,6,6,6
1832,2,5,6,2,2,2,2,2,2,2,2,8,2,5,5,5,5,5,5,5,5,5,5
1833,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1834,2,0,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0
1835,8,4,4,5,6,6,4,8,4,8,8,8,9,4,4,4,4,4,4,4,4,4,4
1836,3,1,1,3,3,3,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1
1837,6,0,0,2,6,6,6,2,2,6,6,2,6,0,0,0,0,0,0,0,0,0,0
1838,8,1,1,3,3,8,1,8,1,8,3,3,1,1,1,1,1,1,1,1,1,1,1
1839,3,4,4,3,3,8,3,3,3,8,3,3,9,6,6,4,6,6,4,4,4,4,4
1840,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
1841,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1842,8,9,9,7,7,8,7,8,8,7,8,7,7,9,9,9,9,9,9,9,9,9,9
1843,2,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,8,1,1,1,1,1,1
1844,3,1,1,3,3,8,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1
1845,3,0,0,3,3,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0
1846,6,6,6,5,6,6,4,6,4,6,6,6,4,6,6,6,6,6,6,6,6,6,6
1847,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1848,4,9,9,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9
1849,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1850,4,6,6,8,4,4,4,4,4,4,4,4,4,6,6,6,6,6,6,6,6,6,6
1851,5,5,5,8,5,8,5,8,9,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1852,0,6,6,5,5,0,5,5,0,0,5,0,0,6,6,6,6,6,6,6,6,6,6
1853,8,5,5,6,2,6,6,3,1,5,8,8,1,5,5,5,5,5,5,5,5,5,5
1854,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,8,8,8,8,8,8,8
1855,2,4,4,2,2,2,2,2,2,2,0,2,2,4,4,4,2,4,4,4,4,4,4
1856,6,6,6,8,6,6,8,8,6,8,8,8,6,6,6,6,6,6,6,6,6,6,6
1857,3,4,4,9,9,9,9,9,3,3,3,3,9,4,4,4,4,4,4,4,4,4,4
1858,5,3,3,5,5,8,5,5,8,5,5,5,5,3,3,3,3,3,3,3,3,3,3
1859,2,9,9,2,2,8,8,2,2,2,2,8,4,9,0,9,9,0,9,9,0,0,9
1860,8,1,1,5,8,8,8,8,8,3,8,8,8,1,1,1,1,1,1,1,1,1,1
1861,3,3,3,3,3,3,7,3,3,3,3,7,7,3,3,3,3,7,3,3,3,7,3
1862,8,4,4,7,9,8,7,8,8,7,8,8,8,4,4,4,4,4,4,4,4,4,4
1863,5,1,1,5,5,5,8,5,8,5,8,8,5,1,1,1,1,1,1,1,1,1,1
1864,4,9,9,9,9,4,9,9,4,9,4,9,4,9,9,9,9,9,9,9,9,9,9
1865,8,1,1,3,1,8,1,3,1,3,8,8,1,1,1,1,1,1,1,1,1,1,1
1866,2,2,7,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
1867,3,1,1,3,3,9,7,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
1868,7,1,1,7,7,7,7,7,7,7,8,7,7,1,1,1,1,1,1,1,1,1,1
1869,9,9,9,3,3,9,9,3,8,9,3,9,9,9,9,9,9,9,9,9,9,9,4
1870,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1871,7,5,5,7,7,7,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5
1872,8,4,4,3,8,8,7,8,8,3,8,8,3,4,4,4,4,4,4,4,4,4,4
1873,3,0,0,3,3,5,5,3,5,5,3,3,3,0,0,0,0,0,0,0,0,0,0
1874,7,9,7,3,7,7,7,7,7,7,7,7,7,9,9,9,9,9,9,9,7,9,9
1875,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1876,6,6,6,6,6,4,6,6,6,6,6,4,6,6,6,6,6,6,6,6,6,6,6
1877,8,1,1,3,5,8,8,5,8,3,8,8,8,1,1,1,1,1,1,1,1,1,1
1878,8,7,7,8,8,8,8,8,8,8,8,8,8,7,7,7,7,7,7,7,7,7,7
1879,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1880,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1881,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1882,3,3,3,3,3,3,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1883,4,0,0,4,4,4,4,4,4,4,4,4,4,0,0,0,0,0,0,0,0,0,0
1884,3,1,1,3,5,3,3,3,3,3,3,8,3,1,1,1,1,1,1,1,1,1,1
1885,5,3,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3
1886,7,7,7,9,9,9,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
1887,6,5,5,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,6,5,5,6,5
1888,8,8,8,3,3,8,8,3,8,3,8,8,8,8,8,8,8,8,8,8,8,8,8
1889,2,6,6,2,2,2,2,2,2,2,2,8,2,6,6,6,6,6,6,6,6,6,6
1890,6,5,5,6,6,6,6,5,6,0,6,6,6,5,5,4,5,4,5,5,5,5,5
1891,3,1,1,3,3,3,1,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1
1892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1893,8,8,4,7,8,8,7,3,3,3,3,3,8,8,8,8,8,8,8,8,1,8,8
1894,0,7,2,0,0,8,0,0,0,2,0,0,0,7,7,7,7,7,7,7,7,7,7
1895,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1896,4,4,4,5,4,8,4,5,8,5,8,8,4,4,4,4,4,4,4,4,4,4,4
1897,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5,0,6,6,6
1898,9,7,7,9,9,9,9,9,9,9,5,9,9,7,7,7,7,7,7,7,7,7,7
1899,4,9,9,8,4,4,4,8,4,4,6,8,4,9,9,9,9,9,9,9,9,9,9
1900,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
1901,3,1,1,3,3,8,8,3,8,3,3,8,3,1,1,1,1,1,1,1,1,1,1
1902,8,4,8,8,8,8,0,8,8,8,8,8,8,4,4,4,4,4,4,4,8,4,4
1903,4,9,4,9,4,9,4,4,4,9,4,9,4,9,9,9,9,9,9,9,9,9,9
1904,7,9,9,7,7,7,7,7,7,7,7,7,7,9,9,7,9,9,9,9,9,9,9
1905,3,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2
1906,3,8,8,3,8,3,3,3,8,3,3,8,3,8,8,8,8,8,8,8,8,8,8
1907,0,6,6,7,0,0,0,0,0,0,0,0,0,6,6,6,2,6,6,6,2,6,6
1908,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
